Назва товару,Ціна,Стан,Дата публікації,Місто,Район,Координати на карті,Продавець,Магазин,Посилання на оголошення
"Велосипед гравійник 27.5"" POLYGON BEND R2 2022",37 000 грн.,Б/в,2022-08-06,Городенка,,"48.6724, 25.49625",Коля,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravynik-27-5-polygon-bend-r2-2022-IDPktJT.html
Велосипед Gravel Pure Bros,37 000 грн.,Б/в,2022-08-04,Чернівці,,"48.3, 25.93",vs_bike_cv,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-pure-bros-IDPjnI6.html
Велосипед гравел gravel Omnium CXC sram apex 1x11 (53 см),37 200 грн.,Б/в,2022-07-02,Чернівці,,"48.3, 25.93",fahrrad,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-gravel-omnium-cxc-sram-apex-1x11-53-sm-IDP29kB.html
Велосипед gravel гравел Kona 2021 sram apex (56cm.),37 200 грн.,Б/в,2022-07-16,Чернівці,,"48.3, 25.93",fahrrad,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-gravel-kona-2021-sram-apex-56cm-IDP9cF0.html
Гравійний велосипед BH Gravel Х 105 (розмір М),38 000 грн.,Б/в,2022-07-27,Кам'янське,,"48.5, 34.62",Руслан,,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-bh-gravel-h-105-rozmr-m-IDPeYQw.html
cannondale topstone 3  MEDIUM gravel bike,38 000 грн.,Б/в,2022-07-24,Ірпінь,,"50.51752, 30.2593",Богдан,,https://www.olx.ua/d/uk/obyavlenie/cannondale-topstone-3-medium-gravel-bike-IDPdw4L.html
Cannondale CAAD X 2015 Циклокросс Гревел Gravel Велосипед 58 рост,38 000 грн.,Б/в,2022-05-26,Київ,Шевченківський,"50.47135, 30.4624",Алексей,,https://www.olx.ua/d/uk/obyavlenie/cannondale-caad-x-2015-tsiklokross-grevel-gravel-velosiped-58-rost-IDOI9NS.html
"Продам велосипед Cannondale Topstone 3 Гравийник, Gravel",38 000 грн.,Б/в,2022-06-20,Чернівці,,"48.3, 25.93",Роман,,https://www.olx.ua/d/uk/obyavlenie/prodam-velosiped-cannondale-topstone-3-graviynik-gravel-IDOWIzL.html
Гравел Serious Grafix 2021 Tiagra,39 000 грн.,Б/в,2022-06-10,Львів,Шевченківський,"49.839, 23.995",Андрій,,https://www.olx.ua/d/uk/obyavlenie/gravel-serious-grafix-2021-tiagra-IDOQmwq.html
Велосипед гравел Kross vento cx 2.0,26 000 грн.,Б/в,2022-07-08,Чернівці,,"48.3, 25.93",Вело Світ,VeloSvit,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-kross-vento-cx-2-0-IDP4Hqa.html
"Велосипед гравійний Gravel Merida Silex 400 2019, Shimano 105",43 500 грн.,Б/в,2022-07-19,Івано-Франківськ,,"48.91819, 24.71343",Назар,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravyniy-gravel-merida-silex-400-2019-shimano-105-IDPaSbe.html
Гравійний велосипед BH Gravel Х 105 (розмір М),38 000 грн.,Б/в,2022-07-27,Кам'янське,,"48.5, 34.62",Руслан,,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-bh-gravel-h-105-rozmr-m-IDPeYQw.html
"Гравійний велосипед Cube Nuroad Race 2020, GRX, 56 рама",39 000 грн.,Б/в,2022-03-15,Івано-Франківськ,,"48.91819, 24.71343",Urban Bike Club,Urban Bike Club,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-cube-nuroad-race-2020-grx-56-rama-IDOhUkU.html
Cannondale gravel Bad boy велосипед,39 000 грн.,Б/в,2020-10-23,Київ,Шевченківський,"50.47135, 30.4624",Сергій,,https://www.olx.ua/d/uk/obyavlenie/cannondale-gravel-bad-boy-velosiped-IDJB6f1.html
Велосипед Cannondale CaadX gravel циклокрос,39 200 грн.,Б/в,2022-08-02,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/velosiped-cannondale-caadx-gravel-tsiklokros-IDPiqTD.html
Гравел Циклокросс Canyon Inflite AL SLX 5.0,39 500 грн.,Б/в,2022-04-28,Чернівці,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/uk/obyavlenie/gravel-tsiklokross-canyon-inflite-al-slx-5-0-IDOw0JJ.html
Велосипед Kellys Soot 70 L Цена 1050$,39 500 грн.,Б/в,2022-06-26,Одеса,Київський,"46.38471, 30.70913",Алексей,,https://www.olx.ua/d/uk/obyavlenie/velosiped-kellys-soot-70-l-tsena-1050-IDOYTpK.html
Продам Велосипед Scott Speedster Gravel 10 Disc 2018,40 000 грн.,Б/в,2022-08-07,Покров,,"47.65339, 34.08544",Drapboy,,https://www.olx.ua/d/uk/obyavlenie/prodam-velosiped-scott-speedster-gravel-10-disc-2018-IDPkK4h.html
Merida Silex 200 2021   Gravel Гравийник,40 000 грн.,Нові,2021-11-05,Ужгород,,"48.61981, 22.29811",Паша,VELOFAN,https://www.olx.ua/d/uk/obyavlenie/merida-silex-200-2021-gravel-graviynik-IDNefpn.html
"циклокрос Votec VRD 105, 54 size, 11sp, DT swiss, гравел, zipp",41 250 грн.,Невідомо,2022-07-20,Гусятин,,"49.07315, 26.18317",Артем Гусятин,Вело Гусятин,https://www.olx.ua/d/uk/obyavlenie/tsiklokros-votec-vrd-105-54-size-11sp-dt-swiss-gravel-zipp-IDPb5iG.html
Gravel туринг Genesis cro mo reynolds 725 XL Salsa Surly Pride Rondo,41 355 грн.,Б/в,2021-09-26,Київ,Дніпровський,"50.45964, 30.61717",Александр,,https://www.olx.ua/d/uk/obyavlenie/gravel-turing-genesis-cro-mo-reynolds-725-xl-salsa-surly-pride-rondo-IDMR8mz.html
SCOTT Contessa Speedster Gravel 25 (2021) (рама М),42 000 грн.,Б/в,2022-05-01,Гатне,,"50.36166, 30.39784",Виктория,,https://www.olx.ua/d/uk/obyavlenie/scott-contessa-speedster-gravel-25-2021-rama-m-IDOvfOu.html
Велосипед 29 Marin BOBCAT TRAIL 5 (2022). Цена снижена до 13.08 !,25 000 грн.,Б/в,2022-07-15,Київ,Дніпровський,"50.45964, 30.61717",Александр,,https://www.olx.ua/d/uk/obyavlenie/velosiped-29-marin-bobcat-trail-5-2022-tsena-snizhena-do-13-08-IDP8P6I.html
Велосипед гравел Felt breed 20,39 200 грн.,Б/в,2022-07-07,Чернівці,,"48.3, 25.93",Вело Світ,VeloSvit,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-felt-breed-20-IDP4H4X.html
"Fuji Jari carbon 1.1 гравийник, гравел, циклокросс за 1860$",74 390 грн.,Б/в,2022-02-17,Одеса,Київський,"46.38471, 30.70913",Руслан,velomedutin,https://www.olx.ua/d/uk/obyavlenie/fuji-jari-carbon-1-1-graviynik-gravel-tsiklokross-za-1860-IDOcqqh.html
НОВЫЙ!ДОКУМЕНТЫ! Гравел Author Ronin 58 XL(2020) Shimano GRX 1100$,42 900 грн.,Нові,2021-11-06,Одеса,Київський,"46.38471, 30.70913",Богдан,Velosecondlife продажа бр...,https://www.olx.ua/d/uk/obyavlenie/novyy-dokumenty-gravel-author-ronin-58-xl2020-shimano-grx-1100-IDNeEXf.html
Велосипед Marin DSX1 размер s монстер кросс гравел gravel гревел байк,43 000 грн.,Б/в,2022-06-01,Софіївська Борщагівка,,"50.41437, 30.36408",Ola,,https://www.olx.ua/d/uk/obyavlenie/velosiped-marin-dsx1-razmer-s-monster-kross-gravel-gravel-grevel-bayk-IDOLZSd.html
Гравел турінг surly straggler salsa bombtrack touring,43 000 грн.,Б/в,2022-06-22,Львів,Галицький,"49.83524, 24.03517",Устим,,https://www.olx.ua/d/uk/obyavlenie/gravel-turng-surly-straggler-salsa-bombtrack-touring-IDOVBcm.html
Велосипед гравійний Scott Speedster Gravel (2021р),44 000 грн.,Б/в,2022-08-08,Чернівці,,"48.3, 25.93",Вадим,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravyniy-scott-speedster-gravel-2021r-IDPld9Q.html
"Koga colmaro race 105 м   шоссер, gravel, endurance",44 000 грн.,Невідомо,2022-07-29,Тернопіль,,"49.56069, 25.61132",Andrii,,https://www.olx.ua/d/uk/obyavlenie/koga-colmaro-race-105-m-shosser-gravel-endurance-IDPfRDp.html
Продам велосипед  Cube,45 000 грн.,Б/в,2022-07-22,Ралівка,,"49.50864, 23.25083",Назар,,https://www.olx.ua/d/uk/obyavlenie/prodam-velosiped-cube-IDPcmxa.html
"Велосипед kross level 10.0 carbon,  похож на cube, merida, canondale",45 000 грн.,Б/в,2022-08-06,Київ,Подільський,"50.49575, 30.43854",Андрей,,https://www.olx.ua/d/uk/obyavlenie/velosiped-kross-level-10-0-carbon-pohozh-na-cube-merida-canondale-IDPkhsL.html
Cube Nuroad _EX XS,45 000 грн.,Б/в,2022-08-08,Галич,,"49.11, 24.73",Михаил,velogarage,https://www.olx.ua/d/uk/obyavlenie/cube-nuroad-ex-xs-IDPlgLk.html
Велосипед gravel shimano grx,45 000 грн.,Б/в,2021-08-28,Вінниця,Ленінський,"49.227, 28.423",Олег,BikeOlsher,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-shimano-grx-IDMzL3m.html
Cube Nuroad Race розмір S,45 100 грн.,Б/в,2022-08-01,Галич,,"49.11, 24.73",Михаил,velogarage,https://www.olx.ua/d/uk/obyavlenie/cube-nuroad-race-rozmr-s-IDPhPMC.html
"РОЗНИЦА опт дропшиппинг алюміній гревел Crosser Gravel NORD 28"" Trek",8 990 грн.,Нові,2021-06-01,Київ,Голосіївський,"50.35684, 30.51985",Велобокс,ВЕЛОБОКС,https://www.olx.ua/d/uk/obyavlenie/roznitsa-opt-dropshipping-alyumny-grevel-crosser-gravel-nord-28-trek-IDLNtsQ.html
Haibike Race 1.0 Gravel велосипед алюмінієвий карбонова вилка 28,14 999 грн.,Б/в,2022-07-21,Стрий,,"49.25663, 23.83511",Олег,Bike-Magazine Lviv,https://www.olx.ua/d/uk/obyavlenie/haibike-race-1-0-gravel-velosiped-alyumnviy-karbonova-vilka-28-IDPbLY1.html
E-Bike Електовелосипед Giant (2021),65 000 грн.,Б/в,2022-07-28,Івано-Франківськ,,"48.91819, 24.71343",Ua ' If,,https://www.olx.ua/d/uk/obyavlenie/e-bike-elektovelosiped-giant-2021-IDPfCPp.html
Гревел/циклокросс Gravel Cube Cross Race XL,46 000 грн.,Б/в,2022-07-17,Вараш,,"51.34366, 25.84909",Руслан,,https://www.olx.ua/d/uk/obyavlenie/grevel-tsiklokross-gravel-cube-cross-race-xl-IDP9LPV.html
"Велосипед Шосейний Cube Nuroad Race FE 2020 28”, рама 58см.",46 155 грн.,Б/в,2022-06-21,Київ,Святошинський,"50.45612, 30.34653",Вадим,Веломагазин Bikecenter - ...,https://www.olx.ua/d/uk/obyavlenie/velosiped-shoseyniy-cube-nuroad-race-fe-2020-28-rama-58sm-IDOV1pb.html
Велосипед Bergamont Grandurance gravel,46 800 грн.,Б/в,2022-06-18,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/velosiped-bergamont-grandurance-gravel-IDOULMr.html
"гравел 8bar Steel mittle 650b SM, Ultegra, DT swiss 1800 Carbon туринг",46 893 грн.,Б/в,2022-07-22,Гусятин,,"49.07315, 26.18317",Артем Гусятин,Вело Гусятин,https://www.olx.ua/d/uk/obyavlenie/gravel-8bar-steel-mittle-650b-sm-ultegra-dt-swiss-1800-carbon-turing-IDPcfJO.html
Циклокросс FOCUS Mares CX carbon XLр-р гидравлика диск гравел,46 987 грн.,Б/в,2021-08-06,Київ,Дніпровський,"50.45964, 30.61717",Игорь,Shara Velo,https://www.olx.ua/d/uk/obyavlenie/tsiklokross-focus-mares-cx-carbon-xlr-r-gidravlika-disk-gravel-IDMnlgr.html
Гравел Serious Grafix 2021 Tiagra,47 100 грн.,Б/в,2021-10-04,Київ,Дарницький,"50.40931, 30.69263",Веломан,ВЕЛОМАН,https://www.olx.ua/d/uk/obyavlenie/gravel-serious-grafix-2021-tiagra-IDMWxuO.html
Велосипед гравел Cube NUROAD RACE FE (2021) ЯК НОВИЙ,47 500 грн.,Б/в,2022-05-30,Чернівці,,"48.3, 25.93",Ігор,ROWEROK,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-cube-nuroad-race-fe-2021-yak-noviy-IDOKp72.html
Scott Speedster Gravel 30 Gravel  (2020р),47 632 грн.,Б/в,2022-06-11,Львів,Франківський,"49.839, 23.995",Любомир,Велосипеди брендові,https://www.olx.ua/d/uk/obyavlenie/scott-speedster-gravel-30-gravel-2020r-IDOQSIS.html
Велосипед Gravel Canyon Grail 6 2021 XL гравийник гидравлика,47 999 грн.,Б/в,2022-06-17,Вараш,,"51.34366, 25.84909",Stanislav,,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-canyon-grail-6-2021-xl-graviynik-gidravlika-IDOUgmv.html
"Велосипед гравел  Cube Nuroad Race FE 2021 28”, рама L.",48 001 грн.,Б/в,2022-06-21,Київ,Святошинський,"50.45612, 30.34653",Вадим,Веломагазин Bikecenter - ...,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-cube-nuroad-race-fe-2021-28-rama-l-IDOV46w.html
"Топовый велосипед Canyon R096 RoadLite SL гравел, шоссейный urban",29 990 грн.,Б/в,2021-12-30,Ірпінь,,"50.51752, 30.2593",Артём,,https://www.olx.ua/d/uk/obyavlenie/topovyy-velosiped-canyon-r096-roadlite-sl-gravel-shosseynyy-urban-IDNLz31.html
"Merida Silex 6000 рама L, карбоновый гравел Gravel bike",53 500 грн.,Б/в,2022-06-15,Петриківка,,"48.58335, 34.80665",Евгений,,https://www.olx.ua/d/uk/obyavlenie/merida-silex-6000-rama-l-karbonovyy-gravel-gravel-bike-IDOTf3B.html
Scott Speedster Gravel 30 (2020),40 000 грн.,Б/в,2022-08-06,Івано-Франківськ,,"48.91819, 24.71343",Іван,,https://www.olx.ua/d/uk/obyavlenie/scott-speedster-gravel-30-2020-IDPkgfq.html
Гравійний велосипед Cube Nuroad 2022 gravel,48 600 грн.,Б/в,2022-07-02,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-cube-nuroad-2022-gravel-IDP27io.html
Гравійний велосипед Gravel Orbea Vector\Документи\Гарантія,49 847 грн.,Б/в,2021-06-06,Київ,Голосіївський,"50.35684, 30.51985",Александр,ROWER LIFE,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-gravel-orbea-vector-dokumenti-garantya-IDLQl6d.html
Циклокрос гравійник Canyon Inflite AL 9.0,49 990 грн.,Б/в,2022-08-08,Одеса,Київський,"46.38471, 30.70913",Руслан,velomedutin,https://www.olx.ua/d/uk/obyavlenie/tsiklokros-gravynik-canyon-inflite-al-9-0-IDPljNP.html
Гравел Ridley Kenzo 2020 року,50 000 грн.,Б/в,2022-06-05,Тернопіль,,"49.56069, 25.61132",Євген,You Velostyle,https://www.olx.ua/d/uk/obyavlenie/gravel-ridley-kenzo-2020-roku-IDONx12.html
Гравійний велосипед Gravel Stevens Supreme\Документи\Гарантія,51 694 грн.,Б/в,2021-07-01,Київ,Голосіївський,"50.35684, 30.51985",Александр,ROWER LIFE,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-gravel-stevens-supreme-dokumenti-garantya-IDM471o.html
Продам крос/гравел ракету Giant TCX SLR 1 2018,52 000 грн.,Б/в,2022-05-11,Київ,Шевченківський,"50.47135, 30.4624",Ігор,,https://www.olx.ua/d/uk/obyavlenie/prodam-kros-gravel-raketu-giant-tcx-slr-1-2018-IDOAApk.html
Велосипед гравійний Origine gravel,52 000 грн.,Б/в,2022-07-23,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravyniy-origine-gravel-IDPcZ7H.html
Гравел Crosser Nord 28,12 000 грн.,Нові,2022-06-13,Одеса,Київський,"46.38471, 30.70913",Артур,А-ВЕЛО,https://www.olx.ua/d/uk/obyavlenie/gravel-crosser-nord-28-IDOS0Pa.html
"Fuji Jari carbon 1.1 гравийник, гравел, циклокросс за 1860$",74 390 грн.,Б/в,2022-02-17,Одеса,Київський,"46.38471, 30.70913",Руслан,velomedutin,https://www.olx.ua/d/uk/obyavlenie/fuji-jari-carbon-1-1-graviynik-gravel-tsiklokross-za-1860-IDOcqqh.html
Scott Speedster Gravel 30 (2020),40 000 грн.,Б/в,2022-08-06,Івано-Франківськ,,"48.91819, 24.71343",Іван,,https://www.olx.ua/d/uk/obyavlenie/scott-speedster-gravel-30-2020-IDPkgfq.html
"гравел Cube Nuroad Race FE (2022) XL, GRX 2x11, туринг, Supernova",52 500 грн.,Невідомо,2022-07-15,Гусятин,,"49.07315, 26.18317",Артем Гусятин,Вело Гусятин,https://www.olx.ua/d/uk/obyavlenie/gravel-cube-nuroad-race-fe-2022-xl-grx-2x11-turing-supernova-IDP8KVM.html
Гравел Bianchi Allroad Tiagra Disc 11,53 300 грн.,Б/в,2021-11-18,Київ,Дарницький,"50.40931, 30.69263",Веломан,ВЕЛОМАН,https://www.olx.ua/d/uk/obyavlenie/gravel-bianchi-allroad-tiagra-disc-11-IDNlUSW.html
"Merida Silex 6000 рама L, карбоновый гравел Gravel bike",53 500 грн.,Б/в,2022-06-15,Петриківка,,"48.58335, 34.80665",Евгений,,https://www.olx.ua/d/uk/obyavlenie/merida-silex-6000-rama-l-karbonovyy-gravel-gravel-bike-IDOTf3B.html
"гравел 8bar Mittle custom, Ultegra, DT swiss 1600, ENVE Carbon",53 540 грн.,Невідомо,2022-07-22,Гусятин,,"49.07315, 26.18317",Артем Гусятин,Вело Гусятин,https://www.olx.ua/d/uk/obyavlenie/gravel-8bar-mittle-custom-ultegra-dt-swiss-1600-enve-carbon-IDPcffA.html
Гравійний велосипед Bergamont Grandurance gravel,53 650 грн.,Б/в,2022-07-18,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-bergamont-grandurance-gravel-IDPalmX.html
Cannondale Flash Lefty 28 6.9 kg carbon Sram карбон  гравел циклокрос,53 650 грн.,Б/в,2021-12-02,Луцьк,,"50.74158, 25.28939",Андрей,BikesBrother,https://www.olx.ua/d/uk/obyavlenie/cannondale-flash-lefty-28-6-9-kg-carbon-sram-karbon-gravel-tsiklokros-IDNuXqO.html
Велосипед LIV Devote gravel гравійний,54 000 грн.,Б/в,2022-07-26,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/velosiped-liv-devote-gravel-gravyniy-IDPejfl.html
Гравійний велосипед Avenue Gravel,54 000 грн.,Б/в,2022-06-25,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-avenue-gravel-IDOYxQb.html
Велосипед Stevens Supreme Pro 2022  gravel гравійний,54 000 грн.,Б/в,2022-07-23,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/velosiped-stevens-supreme-pro-2022-gravel-gravyniy-IDPcLbG.html
Циклокросс (gravel) Giant TCX Advanced Pro 2 карбон,54 648 грн.,Б/в,2020-02-22,Київ,Деснянський,"50.5186, 30.62532",Алексей,,https://www.olx.ua/d/uk/obyavlenie/tsiklokross-gravel-giant-tcx-advanced-pro-2-karbon-IDH8AjS.html
СРОЧНО!! Гравел pride rocx tour dirt 29” размер L gravel,19 000 грн.,Б/в,2022-08-06,Харків,Київський,"50.04, 36.3",Олександр,,https://www.olx.ua/d/uk/obyavlenie/srochno-gravel-pride-rocx-tour-dirt-29-razmer-l-gravel-IDPkp2h.html
Crosser Gravel Nord Pro (1*11S) 28/19 черный глянец,14 800 грн.,Нові,2022-07-04,Одеса,Київський,"46.38471, 30.70913",Павел,,https://www.olx.ua/d/uk/obyavlenie/crosser-gravel-nord-pro-111s-28-19-chernyy-glyanets-IDP34VJ.html
"Електричний гравійний  Corratec E-Allroad Gravel 28"" (2020) Sram",57 000 грн.,Б/в,2022-08-06,Івано-Франківськ,,"48.91819, 24.71343",Ua ' If,,https://www.olx.ua/d/uk/obyavlenie/elektrichniy-gravyniy-corratec-e-allroad-gravel-28-2020-sram-IDPkgCC.html
Гравел Stevens Supreme GRX 2020.,55 300 грн.,Б/в,2021-04-20,Київ,Дніпровський,"50.45964, 30.61717",Веломан,ВЕЛОМАН,https://www.olx.ua/d/uk/obyavlenie/gravel-stevens-supreme-grx-2020-IDLo9OB.html
"Велосипед Scott addict cx, циклокросс, грейвл!",55 550 грн.,Б/в,2022-08-05,Одеса,Малиновський,"46.46309, 30.67813",Георг,,https://www.olx.ua/d/uk/obyavlenie/velosiped-scott-addict-cx-tsiklokross-greyvl-IDPjXzl.html
Велосипед Bergamont Grandurance gravel,56 000 грн.,Б/в,2022-07-26,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/velosiped-bergamont-grandurance-gravel-IDPej4W.html
Гравійний велосипед Cube Cross Race Gravel,56 000 грн.,Б/в,2021-08-12,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-cube-cross-race-gravel-IDMqU0U.html
Велосипед гравел Bergamont Grandurance gravel,56 000 грн.,Б/в,2022-03-17,Київ,Дніпровський,"50.45964, 30.61717",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/velosiped-gravel-bergamont-grandurance-gravel-IDOigZs.html
Гревел городской электро туринг 28 Boardman HYB 8.9e ebike gravel,56 000 грн.,Б/в,2022-06-04,Київ,Солом'янський,"50.41313, 30.44339",Денис,,https://www.olx.ua/d/uk/obyavlenie/grevel-gorodskoy-elektro-turing-28-boardman-hyb-8-9e-ebike-gravel-IDONgXQ.html
Гравійний велосипед Cube Nuroad Gravel,56 000 грн.,Б/в,2022-08-02,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-cube-nuroad-gravel-IDPipNt.html
Велосипед Cube Nuroad EX 2021(размер L-58)(1600$),56 000 грн.,Б/в,2022-04-23,Чорноморськ,,"46.29138, 30.64891",Sergii,,https://www.olx.ua/d/uk/obyavlenie/velosiped-cube-nuroad-ex-2021razmer-l-581600-IDOtf6F.html
Cannondale Synapse Endurance road Gravel bike Carbon 2019 MDN 54.,57 000 грн.,Б/в,2021-07-29,Обухів,,"50.10483, 30.62913",Виталий,,https://www.olx.ua/d/uk/obyavlenie/cannondale-synapse-endurance-road-gravel-bike-carbon-2019-mdn-54-IDMj9Ud.html
Гравел Serious Gravix Pro 2021,57 400 грн.,Б/в,2021-09-19,Київ,Дніпровський,"50.45964, 30.61717",Веломан,ВЕЛОМАН,https://www.olx.ua/d/uk/obyavlenie/gravel-serious-gravix-pro-2021-IDMMIzV.html
"Велосипед алюминий гревел  Crosser Gravel NORD 28"" Giant гравел гревэл",8 990 грн.,Нові,2021-05-31,Одеса,Київський,"46.38471, 30.70913",Велобокс,ВЕЛОБОКС,https://www.olx.ua/d/uk/obyavlenie/velosiped-alyuminiy-grevel-crosser-gravel-nord-28-giant-gravel-grevel-IDLMQQw.html
E-Bike Електовелосипед Giant (2021),65 000 грн.,Б/в,2022-07-28,Івано-Франківськ,,"48.91819, 24.71343",Ua ' If,,https://www.olx.ua/d/uk/obyavlenie/e-bike-elektovelosiped-giant-2021-IDPfCPp.html
Гравийные велосипеды DeMarche 2022 Product от Производителя,16 900 грн.,Нові,2022-06-08,Одеса,Малиновський,"46.46309, 30.67813",Менеджер,,https://www.olx.ua/d/uk/obyavlenie/graviynye-velosipedy-demarche-2022-product-ot-proizvoditelya-IDOPeKb.html
Rondo RUUT ST gravel,59 000 грн.,Невідомо,2022-07-30,Черкаси,,"49.4141, 32.06042",Михайло,,https://www.olx.ua/d/uk/obyavlenie/rondo-ruut-st-gravel-IDPgtqX.html
Велосипед Rondo Ruut Gravel гравійний,60 000 грн.,Б/в,2022-07-26,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/velosiped-rondo-ruut-gravel-gravyniy-IDPejAi.html
On One Pompetamine,60 000 грн.,Б/в,2022-05-20,Івано-Франківськ,,"48.91819, 24.71343",Антон,,https://www.olx.ua/d/uk/obyavlenie/on-one-pompetamine-IDOEUsT.html
Гравійний велосипед Gravel Scott Speedster 30 Військовим знижка,60 555 грн.,Б/в,2021-07-13,Київ,Голосіївський,"50.35684, 30.51985",Александр,ROWER LIFE,https://www.olx.ua/d/uk/obyavlenie/gravyniy-velosiped-gravel-scott-speedster-30-vyskovim-znizhka-IDMaAFx.html
Електро велосипед Giant Explore E+2 Stagger Frame,61 500 грн.,Нові,2022-05-19,Львів,Сихівський,"49.792, 24.064",Vlad,,https://www.olx.ua/d/uk/obyavlenie/elektro-velosiped-giant-explore-e-2-stagger-frame-IDOEwec.html
"carbon Cannondale SUPERX (2018) L-XL, DT swiss 1800, циклокрос, гравел",62 800 грн.,Невідомо,2022-06-19,Гусятин,,"49.07315, 26.18317",Артем Гусятин,Вело Гусятин,https://www.olx.ua/d/uk/obyavlenie/carbon-cannondale-superx-2018-l-xl-dt-swiss-1800-tsiklokros-gravel-IDOWlHc.html
"carbon Cube Cross Race Pro (2022) 58, L-XL, Ultegra, гравел ендуранс",63 990 грн.,Невідомо,2022-08-09,Гусятин,,"49.07315, 26.18317",Артем Гусятин,Вело Гусятин,https://www.olx.ua/d/uk/obyavlenie/carbon-cube-cross-race-pro-2022-58-l-xl-ultegra-gravel-endurans-IDPlOJA.html
Велосипед Rondo Ruut Gravel гравійний,64 000 грн.,Б/в,2022-06-18,Київ,Дарницький,"50.40931, 30.69263",ЄвроБайк,EuroBike,https://www.olx.ua/d/uk/obyavlenie/velosiped-rondo-ruut-gravel-gravyniy-IDOUP3u.html
Open WI.DE extreme gravel frameset new carbon bmc bianchi cervelo 3t,65 000 грн.,Нові,2022-05-17,Івано-Франківськ,,"48.91819, 24.71343",Назар,,https://www.olx.ua/d/uk/obyavlenie/open-wi-de-extreme-gravel-frameset-new-carbon-bmc-bianchi-cervelo-3t-IDODuTi.html
Велосипед Циклокрос Гравел Rose BackRoab карбон,66 000 грн.,Б/в,2022-05-23,Чернівці,,"48.3, 25.93",Василь,,https://www.olx.ua/d/uk/obyavlenie/velosiped-tsiklokros-gravel-rose-backroab-karbon-IDOGTMm.html
СРОЧНО!!! Гравел Pride rocx tour dirt size L 29” (gravel),19 000 грн.,Б/в,2022-07-13,Первомайський,,"49.38628, 36.21511",Александр,,https://www.olx.ua/d/uk/obyavlenie/srochno-gravel-pride-rocx-tour-dirt-size-l-29-gravel-IDP7FPn.html
Новий карбоновий велосипед гревел  Twitter Gravel.,34 000 грн.,Нові,2021-08-14,Київ,Подільський,"50.49575, 30.43854",Виталий,,https://www.olx.ua/d/uk/obyavlenie/noviy-karbonoviy-velosiped-grevel-twitter-gravel-IDMrRRs.html
Туринг/Гравел/Хромоль/Cr-Mo,10 000 грн.,Б/в,2022-08-03,Харків,Слобідський,"49.93914, 36.28963",Максим,,https://www.olx.ua/d/uk/obyavlenie/turing-gravel-hromol-cr-mo-IDPiNcD.html
